name,address,rating,total_ratings,place_id,latitude,longitude
1993 Paristanbul,"113 Av. de Saint-Ouen, 75017 Paris, France",4.3,455,ChIJa7p6B1Vu5kcRSDpANDDXydc,48.8948608,2.3278965
Akdeniz,"68 Av. de Flandre, 75019 Paris, France",4.0,207,ChIJz-G8zdZt5kcRJ11swtfUd04,48.8887106,2.374751
Anamour Kebab Boulogne Billancourt,"99 Av. Édouard Vaillant, 92100 Boulogne-Billancourt, France",3.6,2749,ChIJM2DPPel65kcRV9wONlk4yo4,48.8337813,2.2447167
Anatolia Village,"74 Rue du Château d'Eau, 75010 Paris, France",4.7,575,ChIJn6qIRhJu5kcRgbUJK7I_8pA,48.8726518,2.3551556
Anatolie Durum,"9 Rue de la Harpe, 75005 Paris, France",4.7,965,ChIJaTZDvVRx5kcRLKGjAUTVmJc,48.8527525,2.3446932
Anatolien,"5 Rue aux Ours, 75003 Paris, France",4.4,442,ChIJ-fMFyBtu5kcRvNUnnWQYhrk,48.8630189,2.352005
Ancien Grill Istanbul - Merci de faire les commentaires à Orient Durum,"4 Rue Mathis, 75019 Paris, France",4.3,247,ChIJdc8-WNFt5kcRay4B1d8dPec,48.8907377,2.376234
Arc Food,"5 Av. Carnot, 75017 Paris, France",4.1,1008,ChIJgfuo8Oxv5kcRPh3fXYxacz0,48.8752203,2.2933457
B'nina,"34 Av. Edouard Vaillant, 93000 Bobigny, France",4.2,108,ChIJXcuuODET5kcRo4P4cjZeKys,48.9081171,2.4685597
BAOBAB,"74 Rue St Denis, 75001 Paris, France",4.0,755,ChIJr-CDmLtv5kcRpMgwUZ23aH0,48.861827,2.349323
BERLINER GOURMET - Döner kebab,"26 Rue Louis Rouquier, 92300 Levallois-Perret, France",4.7,33,ChIJ5WIRXKJv5kcR7jsO7-Mak7s,48.889697,2.2846133
BIG FOOD,"13 Rue Courtois, 93500 Pantin, France",3.8,308,ChIJm4jO8wBt5kcRpxyMTPTYGh8,48.892063,2.4167264
BROZ BURGER Kebab burger tacos,"48 Bd Gouvion-Saint-Cyr, 75017 Paris, France",4.4,286,ChIJi21IzGVv5kcRAoNqlAvlOZw,48.8811052,2.2852929
Baba Bey,"55 Bis Bd du Montparnasse, 75006 Paris, France",3.9,1876,ChIJvWriG81x5kcR4CoAouHsVSI,48.8444831,2.322824
Basis Kebab faubourg,"85 Rue du Faubourg Saint-Denis, 75010 Paris, France",4.7,630,ChIJP49rlABv5kcRUsbkQfVFmF8,48.8737253,2.3548231
Berliner - Das Original,"4 Bd Gallieni, 92390 Villeneuve-la-Garenne, France",3.3,3,ChIJU1AJWgBv5kcRdQmBzUnDm6Y,48.9261103,2.3301573
Berliner Das Original,"30 Bd de Clichy, 75018 Paris, France",4.3,249,ChIJORRcZQBv5kcRcGl4vmkpBeo,48.88277540000001,2.3368298
Berliner Das Original - Kebab,"20 Bd Pasteur, 75015 Paris, France",4.2,846,ChIJw_dJODVx5kcR9v5O-SeyonE,48.8426726,2.3123416
Berliner Das Original - Kebab,"10 Rue Gomboust, 75001 Paris, France",4.1,1193,ChIJQ4l8frZv5kcRMKSuyQqXsmU,48.86743800000001,2.3328015
Berliner Das Original - Kebab,"17 Bd de Bonne Nouvelle, 75002 Paris, France",4.4,267,ChIJCaOVym1v5kcRZh1xwLL6DNw,48.8700342,2.3502032
Berliner Das Original - Kebab,"49 Rue d'Alsace, 92300 Levallois-Perret, France",4.1,237,ChIJy7Yci9pv5kcRJ251RgATmZA,48.8934972,2.2991156
Berliner Das Original - Kebab,"13 Rue Linné, 75005 Paris, France",4.5,73,ChIJqQOCFVZx5kcRrIRfNXe9_U0,48.8445177,2.354531
Berliner Das Original - Kebab,"16 Rue Joubert, 75009 Paris, France",4.4,344,ChIJQ9zoRVlv5kcRnbwRCzOATV0,48.874696,2.3310365
Berliner Das Original - Kebab,"Gare du Nord, 25 Rue de Dunkerque, 75010 Paris, France",4.3,740,ChIJ6eG7-0pv5kcRu-PMFeceL1M,48.8799068,2.3540406
Berliner Das Original - Kebab,"134 Bd Voltaire, 75011 Paris, France",4.3,2188,ChIJRw4lvtdt5kcRMaNDIjxzjKE,48.8569405,2.3812588
Berliner Das Original - Kebab,"Centre Commercial Qwartz, 22 Bd Gallieni, 92390 Villeneuve-la-Garenne, France",3.6,134,ChIJoT31uPlv5kcRc-czFWMYnZw,48.9254244,2.3292032
Berliner Das Original - Kebab,"CC Westfield Forum des Halles 101 Porte Berger Place de la Rotonde, près du cinéma UGC, 75001 Paris, France",3.8,703,ChIJA50jO2Jv5kcRvF3JhGhsPI4,48.8627054,2.3441466
Berliner Das Original - Kebab,"les 4 Temps, Centre Commercial Westfield, 15 Parv. de la Défense, 92800 Puteaux, France",4.1,1458,ChIJhT_Jp7Zl5kcRiwni7C2Nnh8,48.89116749999999,2.2400833
Berliner Das Original - Kebab,"Centre Commercial Westfield, 2 Av. de l'Europe, 78140 Vélizy-Villacoublay, France",4.0,357,ChIJpV0D2WV75kcROdeOBoKippQ,48.7823996,2.220463
Berliner Das Original - Kebab,"93 Av. Édouard Vaillant, 92100 Boulogne-Billancourt, France",4.1,966,ChIJIWlcIYV75kcR2lmaZtTjM1U,48.83396949999999,2.2452758
Berliner Das Original - Kebab,"35 Rue Camille Desmoulins, 94230 Cachan, France",3.9,55,ChIJWQC4XQpx5kcRU-f4QF1XJe4,48.7924723,2.3330571
Berliner Das Original - Kebab - FERMÉ,"Centre Commercial Régional Créteil-Soleil, 94000 Créteil, France",4.1,572,ChIJv-zRw7MN5kcRaiQDK8n-Tuk,48.7793179,2.4557568
Berliner Strasse Kebap,"89 Rue Daguerre, 75014 Paris, France",4.5,497,ChIJHSENXPdx5kcRaQtiHRvAleQ,48.8358796,2.3242207
Best Istanbul Grill,"26 Bis Bd Diderot, 75012 Paris, France",4.3,1160,ChIJITrNLQVy5kcRK7RpHqsfnjU,48.8458663,2.3751343
Best Pizza,"155 Av. Paul Vaillant Couturier, 94250 Gentilly, France",4.0,118,ChIJ__9Pg6dx5kcRO9jnVv6Uge4,48.8168144,2.3326224
Big Slime Kebab,"222 Rue du Faubourg Saint-Denis, 75010 Paris, France",3.7,331,ChIJ6dgpPnBu5kcRodRjU5jwHTk,48.8848952,2.3591245
Black Pide,"83 Rue Marguerite de Rochechouart, 75009 Paris, France",4.8,464,ChIJw04RaiJv5kcRCBZeAMDm53U,48.8824336,2.3465994
Bondy Grill,"18 Rue Auguste Polissard, 93140 Bondy, France",4.3,474,ChIJfToy2zwT5kcRSRhHXvsH4j4,48.9046655,2.479877
Buff Burger,"3bis Rue Gabriel Péri, 93200 Saint-Denis, France",4.0,266,ChIJr4KkDbtv5kcRrV3Pv2nPlvI,48.9310104,2.3561836
Buffet Dost,"92 Rue d'Avron, 75020 Paris, France",4.3,1204,ChIJDfyQ1Xhy5kcRm9qyPqL0AmE,48.8525658,2.4058711
Burger Time,"129 Av. Gallieni, 94160 Saint-Mandé, France",4.4,389,ChIJV65zON5z5kcRFSv5UgZJsHI,48.8460997,2.4169585
C KEBAB Paris,"13 Boulevard St Denis, 75002 Paris, France",4.7,533,ChIJ3W0NvJ5v5kcR8h-_liZTcDg,48.8692783,2.3537406
CHEZ NAAN KEBAB,"113 Rue de Paris, 92110 Clichy, France",4.6,80,ChIJyTcazC9v5kcRa8D6wFhC2eM,48.902454,2.3021206
Carthage II,"35 Rue St Denis, 75001 Paris, France",3.3,335,ChIJFw7z5x5u5kcRljiJxA4TxCc,48.8599664,2.3480627
Casse Croute Grec,"4 Rue de l'École Polytechnique, 75005 Paris, France",4.2,552,ChIJBXCGa-Zx5kcROIBIWqvHa8Y,48.8475279,2.3482859
Chamyat,"138 Av. de Saint-Ouen, 75018 Paris, France",4.6,218,ChIJT_ZshVVu5kcRcVYE2EjGBPw,48.8963087,2.3287311
Chez Mimi,"50 Bd de Stalingrad, 94600 Choisy-le-Roi, France",4.2,210,ChIJfVO083505kcRGBkNStCEpJ4,48.7710198,2.4014166
"Chez Perla Spécialités Turques, Orientale Et Balkanique","147 Rue d'Avron, 75020 Paris, France",5.0,1,ChIJrRa-v39y5kcRsQAM1rRNUI8,48.85351989999999,2.4102218
Chez Teyssier,"5 Av. Carnot, 75017 Paris, France",4.8,26,ChIJ-aQnqchv5kcROhfYBKj-f5A,48.8752456,2.2933861
Chez l'Ami,"88 Bd Barbès, 75018 Paris, France",2.8,50,ChIJtyRdJmdu5kcR1I54OSF7moc,48.8906024,2.3498586
Chez les Deux Amis Brocante,"52 Rue de Ménilmontant, 75020 Paris, France",4.4,732,ChIJd2E4nZNt5kcROaD07Bwzj5A,48.86819810000001,2.3880166
Chez les deux amis Gourmet,"110 Rue de Ménilmontant, 75020 Paris, France",4.3,287,ChIJLxkiVktt5kcRnL202KN_iCY,48.8695996,2.393599
Chilane 18 (spécialités turques),"184 Rue Ordener, 75018 Paris, France",4.6,86,ChIJPyHxGXFv5kcR6jbnCQuCEbk,48.8941328,2.3334918
Croq De Bibliothèque,"16 Rue de Tolbiac, 75013 Paris, France",3.7,198,ChIJozRevCRy5kcR8YdFhpbTUL4,48.8296445,2.3747018
Croq'nivert ( halal حلال ),"8 Rue de la Croix Nivert, 75015 Paris, France",4.1,466,ChIJ1_QSzCJw5kcRaFXc1VNrSvk,48.8474262,2.3007033
Das Happy,"98 Rue Ordener, 75018 Paris, France",4.5,366,ChIJEVqpxftv5kcRVV9g0u0BlBw,48.89299519999999,2.3418561
Doner king,"54 Av. Mozart, 75016 Paris, France",3.8,950,ChIJ-zFwWax65kcRJ8Ys-EHK1YU,48.855016,2.2695031
Doner king - HSMP,"141 Av. de Villiers, 75017 Paris, France",3.7,274,ChIJnV6vT5Bv5kcR_YMFT_FgK7Q,48.88533220000001,2.2926028
Dunya,"123 Av. Jean Jaurès, 75019 Paris, France",4.4,225,ChIJCdlQjM9t5kcRZwX4zICKUeY,48.8861262,2.3822214
Délicieux,"6 Rue du Faubourg Saint-Denis, 75010 Paris, France",4.1,67,ChIJVSHnaxFu5kcR1nyBThZO4nM,48.8700735,2.3529169
Döner,"72 Rue de Provence, 75009 Paris, France",4.8,136,ChIJq1hyjfRv5kcRhL56RwqmIKo,48.8743371,2.3322751
Döni Berliner Paris,"17 Av. Secrétan, 75019 Paris, France",4.8,1056,ChIJ0bWKn0Bt5kcRiQ-ONJx2cfc,48.8819992,2.3718022
Döni Berliner Paris 18,"14 Av. de Clichy, 75018 Paris, France",4.8,53,ChIJL8GgAGZv5kcRseOkmPcemio,48.8846807,2.3271824
EAT'S TIME,"195 Rue de Tolbiac, 75013 Paris, France",3.6,166,ChIJCdyjeZpx5kcRtoWtx6mNAYY,48.8256816,2.3497764
"Eat Me - Restaurant Paris 12 - Kebab, Burger & Cheese Naan","79 Bd Diderot, 75012 Paris, France",4.4,243,ChIJdXlO2EVz5kcRlLr-gc8fvG8,48.84751000000001,2.386937
Eat Meat,"1 Rue du Général Leclerc, 92130 Issy-les-Moulineaux, France",4.4,568,ChIJo3Uo5nlw5kcRrbqQ2iFg5fc,48.8267629,2.2791193
Eat Meat Halal restaurant,"63 Rue de Ponthieu, 75008 Paris, France",4.5,739,ChIJCaEB2MNv5kcRHg3Cc8yBiZM,48.8722426,2.3044859
Efendi Grill House,"Juste à côté de ponte, 175 Av. de Flandre, 75019 Paris, France",4.4,2002,ChIJVdENFn5t5kcRNucd7RlDIYo,48.8947363,2.381763
Efendy kebab,"194 Rue Anatole France, 93700 Drancy, France",4.2,470,ChIJSc_zy6ls5kcRTsfgqfhn8rA,48.9336028,2.4555267
Ephese - Kebab Paris 9,"1 Pl. de Budapest, 75009 Paris, France",4.7,400,ChIJGQsFyVdv5kcREzybyJVCjBk,48.87703519999999,2.3271938
Extra Doner,"69 Bd Barbès, 75018 Paris, France",4.0,203,ChIJlX_LOmdu5kcRVj60LiNlyio,48.8906499,2.3494016
Fantastyk - Street food Paris 12,"92 Av. du Dr Arnold Netter, 75012 Paris, France",4.8,554,ChIJF4-IVONz5kcR3fxPvNxy1pE,48.8469211,2.4063479
Food Court (Porte Champerret),"5 Bd Gouvion-Saint-Cyr, 75017 Paris, France",3.8,31,ChIJv8aSQVpv5kcR8_wrmq9TDEM,48.8852477,2.2912977
Fresh Kebab,"63 Rue Dauphine, 75006 Paris, France",2.8,291,ChIJwRKfratx5kcRi9zXM3shUCg,48.8537179,2.3385926
GEMS Kebab berliner,"102 Rue du Faubourg Saint-Antoine, 75012 Paris, France",4.7,338,ChIJo4b0R1lz5kcRaLBxyGBH9AU,48.8510558,2.3766215
GEMÜSE - Berliner Kebap,"61 Rue Ramey, 75018 Paris, France",4.6,2255,ChIJJWZlZB9v5kcRBi5teyuum-M,48.8905954,2.3453692
GRILL AGORA,"158 Bd Masséna, 75013 Paris, France",4.1,155,ChIJRQNPH4Fx5kcRBpEggIvOdyU,48.8193642,2.3608142
Galatasaray Restaurant,"76 Bd Ornano, 75018 Paris, France",4.3,408,ChIJV3Khe_Vu5kcRdVGPREuqqkI,48.8968971,2.3455138
Grenelle Food,"105 Bd de Grenelle, 75015 Paris, France",3.4,573,ChIJ7YrjWBhw5kcR6zcHbAAkhoY,48.8495582,2.2971687
Grill & Kebab,"101bis Rue de Ménilmontant, 75020 Paris, France",4.7,326,ChIJC-xySJNt5kcRsCdinhoikpo,48.8691565,2.3912056
Grill Ephes,"75019 Paris, France",3.8,179,ChIJq7UNSNJt5kcRyLWZCJrlh5c,48.8920953,2.3790557
Grill Ephes 2,"8 Av. de Flandre, 75019 Paris, France",3.9,41,ChIJobnWw_Bt5kcRPQLW1RLrgww,48.8847055,2.3698529
Grill Istanbul,"10 Bd de la République, 93130 Noisy-le-Sec, France",4.1,137,ChIJ6_mDxioT5kcRA3Qe0aOrC80,48.8955783,2.4614163
Grill Istanbul,"10 Bd Jourdan, 75014 Paris, France",3.8,284,ChIJq-nEP59x5kcRxGoeYSauxzc,48.819847,2.343376
Grill Istanbul Kebab,"4 Rue Michel Chasles, 75012 Paris, France",4.1,770,ChIJmRlW2gRy5kcRbFMxHwYjVGM,48.8463091,2.3740297
Grill Mazlum,"63 Av. Jean Lolive, 93500 Pantin, France",3.9,399,ChIJfd44i61t5kcRZrtTg3Y-gFE,48.8915776,2.4039427
Grill d'Istanbul,"77 Rue de Bezons, 92400 Courbevoie, France",4.1,1537,ChIJ19bwFAhl5kcRPxXQNp8lhE0,48.89720089999999,2.2478392
Grill istanbul,"15 All. Gabriel Zirnhelt, 93110 Rosny-sous-Bois, France",4.0,791,ChIJob-21cMS5kcRr5_ZzHV6TU0,48.877918,2.4790588
Grill istanbul,"10 Av. Pierre et Marie Curie, 93150 Le Blanc-Mesnil, France",4.0,128,ChIJw3l_xVVr5kcRpCHnveaz7Io,48.9362587,2.4591872
Grill İstanbul,"62 Av. de Fontainebleau, 94270 Le Kremlin-Bicêtre, France",4.6,935,ChIJS9RXQn5x5kcRzaAUuCbxfcQ,48.8120222,2.3613825
Grillades Istanbul (Chez Gentillesse),"106 Bd Jourdan, 75014 Paris, France",4.3,675,ChIJzy5U7a5x5kcRfPGRdd9PSv0,48.8232524,2.3263315
H,"93 Rue Ordener, 75018 Paris, France",3.6,49,ChIJcceVA15u5kcRug9SXEf4-d4,48.8919138,2.3471576
HBA Délices d'orient,"100 Rue du Faubourg du Temple, 75011 Paris, France",4.0,101,ChIJ8b8Io-Zt5kcRON2HIfRZg8M,48.8712264,2.3748531
Hêvî,"168 Bd Vincent Auriol, 75013 Paris, France",4.5,750,ChIJgxezFYxx5kcRZthx2_32e0c,48.8318315,2.3580583
IZGARA,"34 Rue Mouffetard, 75005 Paris, France",4.6,302,ChIJLY3TTpRx5kcR2e0bZk5_i9U,48.843948,2.3493291
Impact Berliner Kebap,"185 Rue St Denis, 75002 Paris, France",4.8,196,ChIJx3YmCQBv5kcRtpRvJpUIfOo,48.8660337,2.3505642
Impact Berliner Kebap,"119 Rue du Chemin Vert, 75011 Paris, France",4.8,1191,ChIJYdb214lt5kcRfewr8U8Iiss,48.8617852,2.3828718
Impact Berliner Kebap,"42 Rue du Faubourg du Temple, 75011 Paris, France",4.6,60,ChIJe5l5V3Bt5kcRqc40x18TBl8,48.8692369,2.3689042
Istanbul Gourmand bar kebab,"206 Av. Jean Jaurès, 75019 Paris, France",3.0,528,ChIJGbkhMLZt5kcRYnRus9W4HBs,48.8885002,2.392674
Istanbul Grill,"49 Av. de la Division Leclerc, 93350 Le Bourget, France",4.4,1042,ChIJ62XciYFs5kcRUvjEPMvTlUw,48.933522,2.424154
Istanbul Kebab,"2 Rue de la Folie Méricourt, 75011 Paris, France",4.4,60,ChIJ89nM2vtt5kcRHWhcIhFzfGY,48.86126410000001,2.3749795
Istanbul Kebab,"26 Rue du Faubourg Montmartre, 75009 Paris, France",4.1,198,ChIJfUOe-D5u5kcRBq6edD3cC2w,48.8735188,2.3430292
KB - Kebab Berliner - Bagnolet,"101 Av. Gambetta, 93170 Bagnolet, France",4.3,231,ChIJjbDX1L9t5kcRX57cYyoSTSw,48.8719397,2.4185033
Kaiser Kebab,"106 Av. Édouard Vaillant, 92100 Boulogne-Billancourt, France",4.3,649,ChIJd196YLt75kcR6aH3wcBZQeM,48.8341364,2.2445229
Kebab Alésia,"37 Rue d'Alésia, 75014 Paris, France",3.7,465,ChIJkZRH6bpx5kcR3UebDHkes-o,48.8276516,2.3326027
Kebab Austerlitz,"14 Bd de l'Hôpital, 75005 Paris, France",2.9,79,ChIJKSFHWfZx5kcRYPvAbDMt9o8,48.8424087,2.3632837
Kebab BOSQUETS,"71 Av. Bosquet, 75007 Paris, France",3.7,104,ChIJkRIaNgBx5kcR-WZTWVXZDE8,48.8556715,2.3052811
Kebab Barrio Latino,"26 Rue Saint-Séverin, 75005 Paris, France",4.4,161,ChIJedMkluBx5kcR918n7d9CCas,48.852509,2.3450875
Kebab Bercy,"8 Rue de Dijon, 75012 Paris, France",3.8,533,ChIJ5abcYxVy5kcRhi9yb7Ea-ZQ,48.8354741,2.3859187
Kebab Clichy,"8 Rue Caulaincourt, 75018 Paris, France",4.4,71,ChIJAQCwdk5u5kcRBeT_2IYq_jg,48.8851278,2.3305395
Kebab Fait Maison,"42 Bd Jules Guesde, 93200 Saint-Denis, France",5.0,1,ChIJCWtRKQBv5kcRMZCPOyMdcVo,48.9366269,2.3502937
Kebab Fresh Tacos,"28 Bd de Clichy, 75018 Paris, France",4.4,202,ChIJ9dzpEetv5kcRNYfME0HezFw,48.8827149,2.3370256
Kebab Halal,"3 Av. du Général Leclerc, 75014 Paris, France",3.6,418,ChIJwzNB0Llx5kcR1Vo-Dgzw2XQ,48.8333465,2.3319823
Kebab Halal Star Food 11,"52 Av. de la République, 75011 Paris, France",4.5,131,ChIJxV0y-qdt5kcRqe_tvTSmytw,48.8649632,2.3753378
Kebab King,"19 Av. du Général Leclerc, 92340 Bourg-la-Reine, France",4.2,20,ChIJm7YQISBx5kcRIH2M_pK0AJo,48.7863988,2.3182986
Kebab Maître Hesham,"56 Bd de Clichy, 75018 Paris, France",2.2,29,ChIJefUjuC9v5kcRpsVQs9_isnU,48.883301,2.3350993
Kebab Pantin,"64 Av. Jean Jaurès, 93500 Pantin, France",4.2,92,ChIJ1aiCTDZs5kcReyhhg2S7XSo,48.9029694,2.3916337
Kebab de Turenne,"1 Rue de Turenne, 75004 Paris, France",3.7,57,ChIJ70A0Of5x5kcRBdRtEKKsY8k,48.8548323,2.3629172
Kebab gourmet,"10 Rue Marx Dormoy, 75018 Paris, France",4.3,40,ChIJUdT5Zpdv5kcRMWx8t8ELKMg,48.8854672,2.3596786
Kebab Élysée,"2 Rue des Acacias, 75017 Paris, France",3.4,520,ChIJf44hoPJv5kcRY51z1QjARz4,48.8760299,2.2897466
"Kebab's Friend ""Berliner""","60 Av. du Général Leclerc, 75014 Paris, France",4.0,85,ChIJRYHqrNdx5kcR9lU7wBwI5kc,48.8299354,2.3284069
Kebab's Friend Berliner Ivry,"10 bis Rue Barbès, 94200 Ivry-sur-Seine, France",5.0,5,ChIJx_A8vKxz5kcR0OVDAiTF5Ns,48.8176909,2.3730642
Kehribar,"1 Rue des Fossés Saint-Jacques, 75005 Paris, France",4.7,3598,ChIJN7kMq8Jx5kcR6vVw9L27V0A,48.8460893,2.343356
King Food,"6 Rue Charles Moureu, 75013 Paris, France",3.7,196,ChIJUYsiPohx5kcRDwtrl8sPMnQ,48.8269507,2.36335
Koul Kebab,"46 Rue Véron, 75018 Paris, France",4.6,550,ChIJlb4SIFNv5kcRslxw1T8k8FA,48.885359,2.3346135
L'Atelier Dürüm,"41 Rue de Clignancourt, 75018 Paris, France",4.6,2267,ChIJBxeQyA5v5kcRQAoFVkGsZVU,48.88632579999999,2.347433
L'Escale du Château,"12 Av. de Paris, 94300 Vincennes, France",4.3,534,ChIJL0xGMKNy5kcRSJ_CErfDerE,48.844851,2.437199
L'Oasis Du Nord,"10 Rue de Dunkerque, 75010 Paris, France",2.4,159,ChIJHSeMkW1u5kcRzYLNEl_-qsI,48.8796259,2.3578468
La Boule Maître Kebabier,"118 Rue St Denis, 75002 Paris, France",4.3,717,ChIJBWBuLC9v5kcRqI_AwXe5hIU,48.864517,2.3502802
La Cappadoce- Restaurant Turc Paris,"98 Rue de la Roquette, 75011 Paris, France",4.6,1362,ChIJHXvLFvht5kcRFA3O00Jrx9U,48.85654330000001,2.3774455
La Cascade Istanbul,"42 Bd Ornano, 75018 Paris, France",4.1,253,ChIJHdkv1l9u5kcRIxPBTcFBDvs,48.8944296,2.3475837
La Maison du Kebab,"23 Rue Saint-André des Arts, 75006 Paris, France",3.5,119,ChIJFwUoRR9x5kcRcA35Avnf8g4,48.8532714,2.3425931
La Sirène de Vanves,"23 Rue Jean Bleuzen, 92170 Vanves, France",4.3,246,ChIJ8SnJMGFw5kcRhGOYyfWHd4A,48.8214759,2.2928144
Le Berlinois - KEBAP,"64B Rue du Ruisseau, 75018 Paris, France",4.7,620,ChIJ_-KK3-pv5kcR0S9gAoVGYUQ,48.894911,2.3410127
Le Bosphore,"109 Av. d'Italie, 75013 Paris, France",4.0,415,ChIJbxL_nIZx5kcRnqRKnWgZrQ0,48.8224549,2.3588017
