place_id,name,address,rating,total_ratings,latitude,longitude,opening_hours,timestamp
ChIJQ4l8frZv5kcRMKSuyQqXsmU,Berliner Das Original - Kebab,"10 Rue Gomboust, 75001 Paris, France",4.1,1195,48.86743800000001,2.3328015,Monday: 11:00 AM – 11:00 PM; Tuesday: 11:00 AM – 11:00 PM; Wednesday: 11:00 AM – 11:00 PM; Thursday: 11:00 AM – 12:00 AM; Friday: 11:00 AM – 12:00 AM; Saturday: 11:00 AM – 12:00 AM; Sunday: 11:00 AM – 12:00 AM,2025-02-25 21:25:52
ChIJCaOVym1v5kcRZh1xwLL6DNw,Berliner Das Original - Kebab,"17 Bd de Bonne Nouvelle, 75002 Paris, France",4.4,266,48.8700342,2.3502032,Monday: 11:30 AM – 12:00 AM; Tuesday: 11:30 AM – 12:00 AM; Wednesday: 11:30 AM – 12:00 AM; Thursday: 11:30 AM – 12:00 AM; Friday: 11:30 AM – 12:00 AM; Saturday: 11:30 AM – 12:00 AM; Sunday: 11:30 AM – 12:00 AM,2025-02-25 21:25:52
ChIJQ9zoRVlv5kcRnbwRCzOATV0,Berliner Das Original - Kebab,"16 Rue Joubert, 75009 Paris, France",4.4,345,48.874696,2.3310365,Monday: 11:30 AM – 10:30 PM; Tuesday: 11:30 AM – 10:30 PM; Wednesday: 11:30 AM – 10:30 PM; Thursday: 11:30 AM – 10:30 PM; Friday: 11:30 AM – 10:30 PM; Saturday: 11:30 AM – 10:30 PM; Sunday: 11:30 AM – 9:30 PM,2025-02-25 21:25:52
ChIJx3YmCQBv5kcRtpRvJpUIfOo,Impact Berliner Kebap,"185 Rue St Denis, 75002 Paris, France",4.8,197,48.8660337,2.3505642,Monday: 11:30 AM – 1:00 AM; Tuesday: 11:30 AM – 1:00 AM; Wednesday: 11:30 AM – 1:00 AM; Thursday: 11:30 AM – 2:00 AM; Friday: 11:30 AM – 2:00 AM; Saturday: 11:30 AM – 2:00 AM; Sunday: 11:30 AM – 1:00 AM,2025-02-25 21:25:52
ChIJ5U9o7FNv5kcR738hLhZL8Tk,Schön Dürüm,"21 Rue Montorgueil, 75001 Paris, France",4.7,1199,48.8640405,2.3463935,Monday: 11:30 AM – 11:30 PM; Tuesday: 11:30 AM – 11:30 PM; Wednesday: 11:30 AM – 11:30 PM; Thursday: 11:30 AM – 11:30 PM; Friday: 11:30 AM – 12:30 AM; Saturday: 11:30 AM – 12:30 AM; Sunday: 11:30 AM – 11:30 PM,2025-02-25 21:25:52
ChIJA50jO2Jv5kcRvF3JhGhsPI4,Berliner Das Original - Kebab,"CC Westfield Forum des Halles 101 Porte Berger Place de la Rotonde, près du cinéma UGC, 75001 Paris, France",3.8,705,48.8627054,2.3441466,Monday: 11:30 AM – 10:00 PM; Tuesday: 11:30 AM – 10:00 PM; Wednesday: 11:30 AM – 10:00 PM; Thursday: 11:30 AM – 10:00 PM; Friday: 11:30 AM – 10:30 PM; Saturday: 11:30 AM – 10:30 PM; Sunday: 11:30 AM – 11:00 PM,2025-02-25 21:25:52
ChIJ0bWKn0Bt5kcRiQ-ONJx2cfc,Döni Berliner Paris,"17 Av. Secrétan, 75019 Paris, France",4.8,1060,48.8819992,2.3718022,Monday: 11:30 AM – 11:45 PM; Tuesday: 11:30 AM – 11:45 PM; Wednesday: 11:30 AM – 11:45 PM; Thursday: 11:30 AM – 11:45 PM; Friday: 11:30 AM – 11:30 PM; Saturday: 11:30 AM – 11:45 PM; Sunday: 11:30 AM – 11:45 PM,2025-02-25 21:25:53
ChIJ6eG7-0pv5kcRu-PMFeceL1M,Berliner Das Original - Kebab,"Gare du Nord, 25 Rue de Dunkerque, 75010 Paris, France",4.3,740,48.8799068,2.3540406,Monday: 11:00 AM – 11:00 PM; Tuesday: 11:00 AM – 11:00 PM; Wednesday: 11:00 AM – 11:00 PM; Thursday: 11:00 AM – 11:00 PM; Friday: 11:00 AM – 11:00 PM; Saturday: 11:00 AM – 11:00 PM; Sunday: 11:00 AM – 11:00 PM,2025-02-25 21:25:53
ChIJRw4lvtdt5kcRMaNDIjxzjKE,Berliner Das Original - Kebab,"134 Bd Voltaire, 75011 Paris, France",4.3,2190,48.8569405,2.3812588,Monday: 11:30 AM – 10:30 PM; Tuesday: 11:30 AM – 10:30 PM; Wednesday: 11:30 AM – 10:30 PM; Thursday: 11:30 AM – 10:30 PM; Friday: 11:30 AM – 11:00 PM; Saturday: 11:30 AM – 11:00 PM; Sunday: 11:30 AM – 10:30 PM,2025-02-25 21:25:53
ChIJYdb214lt5kcRfewr8U8Iiss,Impact Berliner Kebap,"119 Rue du Chemin Vert, 75011 Paris, France",4.8,1193,48.8617852,2.3828718,Monday: 11:30 AM – 12:00 AM; Tuesday: 11:30 AM – 12:00 AM; Wednesday: 11:30 AM – 12:00 AM; Thursday: 11:30 AM – 12:00 AM; Friday: 11:30 AM – 12:00 AM; Saturday: 11:30 AM – 1:00 AM; Sunday: Closed,2025-02-25 21:25:53
ChIJqQOCFVZx5kcRrIRfNXe9_U0,Berliner Das Original - Kebab,"13 Rue Linné, 75005 Paris, France",4.5,73,48.8445177,2.354531,Monday: 11:30 AM – 10:00 PM; Tuesday: 11:30 AM – 10:00 PM; Wednesday: 11:30 AM – 10:00 PM; Thursday: 11:30 AM – 10:00 PM; Friday: 11:30 AM – 10:30 PM; Saturday: 11:30 AM – 10:30 PM; Sunday: 11:30 AM – 10:00 PM,2025-02-25 21:25:53
ChIJI_kr0bxv5kcR6BSfN9996E8,Sürpriz - Berliner Kebab,"28 Boulevard St Denis, 75010 Paris, France",4.5,1130,48.8698845,2.352976,"Monday: 11:30 AM – 4:00 PM, 6:30 PM – 12:30 AM; Tuesday: 11:30 AM – 4:00 PM, 6:30 PM – 1:00 AM; Wednesday: 11:30 AM – 4:00 PM, 6:30 PM – 1:00 AM; Thursday: 11:30 AM – 4:00 PM, 6:30 PM – 1:00 AM; Friday: 11:30 AM – 4:00 PM, 6:30 PM – 2:00 AM; Saturday: 11:30 AM – 4:30 PM, 6:30 PM – 2:00 AM; Sunday: 11:30 AM – 4:30 PM, 6:30 PM – 12:30 AM",2025-02-25 21:25:53
ChIJe5l5V3Bt5kcRqc40x18TBl8,Impact Berliner Kebap,"42 Rue du Faubourg du Temple, 75011 Paris, France",4.6,66,48.8692369,2.3689042,Monday: 11:00 AM – 12:00 AM; Tuesday: 11:00 AM – 12:00 AM; Wednesday: 11:00 AM – 12:00 AM; Thursday: 11:00 AM – 12:00 AM; Friday: 11:00 AM – 2:00 AM; Saturday: 11:00 AM – 2:00 AM; Sunday: Closed,2025-02-25 21:25:53
ChIJORRcZQBv5kcRcGl4vmkpBeo,Berliner Das Original,"30 Bd de Clichy, 75018 Paris, France",4.3,252,48.88277540000001,2.3368298,"Monday: 12:00 – 2:00 AM, 11:30 AM – 12:00 AM; Tuesday: 12:00 – 4:00 AM, 11:30 AM – 12:00 AM; Wednesday: 12:00 – 4:00 AM, 11:30 AM – 12:00 AM; Thursday: 12:00 – 4:00 AM, 11:30 AM – 12:00 AM; Friday: 12:00 – 6:00 AM, 11:30 AM – 12:00 AM; Saturday: 12:00 – 6:00 AM, 11:30 AM – 12:00 AM; Sunday: 12:00 – 6:00 AM, 11:30 AM – 12:00 AM",2025-02-25 21:25:53
ChIJ-0-6JkNv5kcRL12pd962ZIM,Unik Berliner - Paris Châtelet,"11 Rue de la Ferronnerie, 75001 Paris, France",4.8,299,48.8601689,2.3476766,"Monday: 11:30 AM – 11:00 PM; Tuesday: 11:30 AM – 12:00 AM; Wednesday: 11:30 AM – 12:00 AM; Thursday: 11:30 AM – 12:00 AM; Friday: 11:30 AM – 12:00 AM; Saturday: 12:00 – 6:00 AM, 11:30 AM – 12:00 AM; Sunday: 12:00 – 6:00 AM",2025-02-25 21:25:53
ChIJR5FrLEtt5kcREqmkoSh5CqE,Meister,"155 Rue de Crimée, 75019 Paris, France",4.6,644,48.8877771,2.3800086,Monday: 11:30 AM – 1:00 AM; Tuesday: 11:30 AM – 1:00 AM; Wednesday: 11:30 AM – 1:00 AM; Thursday: 11:30 AM – 1:00 AM; Friday: 11:30 AM – 2:00 AM; Saturday: 11:30 AM – 2:00 AM; Sunday: 12:00 PM – 1:00 AM,2025-02-25 21:25:53
